Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,District Name,Floor Level
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"950,000",495.14,"1,919",Feb-24,Strata,46,"20,652",99 yrs lease commencing from 1997,7," Middle Road, Golden Mile",01 to 05
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Office,"695,000",290.63,"2,391",Feb-24,Strata,27,"25,741",99 yrs lease commencing from 1970,1," Raffles Place, Cecil, Marina, People's Park",B1 to B5
VISION EXCHANGE,VENTURE DRIVE,Office,"25,656,000","10,774.76","2,381",Feb-24,Strata,"1,001","25,630",99 yrs lease commencing from 2013,22, Jurong,21 to 25
VISION EXCHANGE,VENTURE DRIVE,Office,"33,322,000","14,014.73","2,378",Feb-24,Strata,"1,302","25,593",99 yrs lease commencing from 2013,22, Jurong,21 to 25
HIGHLAND CENTRE,YIO CHU KANG ROAD,Office,"820,000",613.55,"1,336",Feb-24,Strata,57,"14,386",Freehold,19," Serangoon Garden, Hougang, Punggol",01 to 05
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"600,000",441.32,"1,360",Feb-24,Strata,41,"14,634",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05
HIGH STREET PLAZA,HIGH STREET,Office,"290,000",86.11,"3,368",Feb-24,Strata,8,"36,250",999 yrs lease commencing from 1827,6," High Street, Beach Road (part)",01 to 05
ORCHARD PLAZA,ORCHARD ROAD,Office,"740,000",452.09,"1,637",Feb-24,Strata,42,"17,619",99 yrs lease commencing from 1977,9," Orchard, Cairnhill, River Valley",06 to 10
OXLEY TOWER,ROBINSON ROAD,Office,"3,300,000",979.52,"3,369",Feb-24,Strata,91,"36,264",Freehold,1," Raffles Place, Cecil, Marina, People's Park",11 to 15
111 SOMERSET,SOMERSET ROAD,Office,"2,300,000",775.01,"2,968",Feb-24,Strata,72,"31,944",99 yrs lease commencing from 1975,9," Orchard, Cairnhill, River Valley",11 to 15
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"372,800",279.86,"1,332",Feb-24,Strata,26,"14,338",99 yrs lease commencing from 1974,7," Middle Road, Golden Mile",06 to 10
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"3,372,075","6,296.94",536,Feb-24,Strata,585,"5,764",99 yrs lease commencing from 1969,3," Queenstown, Tiong Bahru",01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"3,680,967","6,684.44",551,Feb-24,Strata,621,"5,927",99 yrs lease commencing from 1969,3," Queenstown, Tiong Bahru",01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"3,946,958","7,018.13",562,Feb-24,Strata,652,"6,054",99 yrs lease commencing from 1969,3," Queenstown, Tiong Bahru",01 to 05
15 SCOTTS,SCOTTS ROAD,Office,"3,118,800",678.13,"4,599",Feb-24,Strata,63,"49,505",Freehold,9," Orchard, Cairnhill, River Valley",06 to 10
